starb	99	서울	충정타워	서울특별시 서대문구 서소문로 21, 충정타워빌딩 1층 (충정로3가)	-	37.5614326	126.9662799
starb	101	서울	경기대	서울특별시 서대문구 충정로 53 (충정로2가)	-	37.5637129	126.9646194
starb	103	서울	경복궁사거리	서울특별시 종로구 율곡로 6, B동 101호(중학동, 트윈트리타워)	-	37.5754163	126.9801322
starb	105	서울	충정로역	서울특별시 서대문구 경기대로9길 77 (충정로3가)	-	37.5643431	126.959843
starb	107	서울	주얼리시티	서울특별시 종로구 종로 183 (인의동) 효성주얼리시티	-	37.5711959	126.9986621
starb	109	서울	적선	서울특별시 종로구 새문안로5길 55, 노스게이트빌딩 1층 (적선동)	-	37.5715671	126.9745288
starb	111	서울	안국	서울특별시 종로구 북촌로 5-1 (재동)	-	37.5773379	126.9856353
starb	113	서울	숙대입구역	서울특별시 용산구 한강대로 291 (갈월동)	-	37.5442008	126.9719246
starb	115	서울	스페이스본	서울특별시 종로구 사직로8길 4 (사직동) 광화문 풍림스페이스본	-	37.5743822	126.9688505
starb	117	서울	경복궁역	서울특별시 종로구 자하문로4길 6, 1층 (통의동)	-	37.5771471	126.9726344
starb	119	서울	북촌로	서울특별시 종로구 북촌로4길 23 (계동)	-	37.5793885	126.9864543
starb	121	서울	숙대	서울특별시 용산구 청파로47길 57 (청파동3가)	-	37.5445812	126.9671959
starb	123	서울	용산타운하우스	서울특별시 용산구 신흥로	-	37.54386	126.9855956
starb	125	서울	대학로	서울특별시 종로구 대학로 57, 홍익대학교 대학로캠퍼스 內 (연건동)	-	37.576601	127.001488
starb	127	서울	용산미8군	서울특별시 용산구 신흥로	-	37.536584	126.986417
starb	129	서울	약수역	서울특별시 중구 다산로 129 (신당동)	-	37.555487	127.010801
starb	131	서울	애오개역	서울특별시 마포구 마포대로 201, 마포트라팰리스II (아현동)	-	37.5521804	126.9554999
starb	133	서울	신당역	서울특별시 중구 퇴계로 385, 1층 (흥인동)	-	37.565296	127.0143007
starb	135	서울	삼청동	서울특별시 종로구 삼청로 111-1 (삼청동)	-	37.5829548	126.9810261
starb	137	서울	성대입구	서울특별시 종로구 창경궁로 235 (명륜3가)	-	37.582923	126.9983545
starb	139	서울	이태원입구	서울특별시 용산구 이태원로 140 (이태원동)	-	37.5339468	126.9893291
starb	141	서울	마로니에공원	서울특별시 종로구 대학로 116, 1-2층 (동숭동)	-	37.5783671	127.0029945
starb	143	서울	공덕역	서울특별시 마포구 마포대로 143, 파크팰리스 2 (공덕동)	-	37.5472768	126.9530391
starb	145	서울	이태원거리	서울특별시 용산구 이태원로 213, 1,2층 (한남동)	-	37.5291233	126.9936362
starb	147	서울	대명거리	서울특별시 종로구 대명길 5 (명륜4가)	-	37.5834855	127.001148
starb	149	서울	상명아트홀	서울특별시 종로구 동숭길 133 (동숭동)	-	37.5833331	127.0027272
starb	151	서울	동숭로아트	서울특별시 종로구 동숭길 110 (동숭동)	-	37.5829419	127.0038862
starb	153	서울	이대ECC	서울특별시 서대문구 이화여대길 52 (대현동) 이화여자대학교 B415호	-	37.563215	126.946780
starb	155	서울	마포이마트	서울특별시 마포구 백범로 212 (신공덕동) 마포이마트	-	37.542719	126.953258
starb	157	서울	이대	서울특별시 서대문구 이화여대길 34 (대현동)	-	37.5583821	126.9459524
starb	159	서울	연대동문	서울특별시 서대문구 성산로 565 (대신동)	-	37.566388	126.9462765
starb	161	서울	공덕오거리	서울특별시 마포구 마포대로 86 (도화동) 창강빌딩	-	37.5424641	126.9505773
starb	163	서울	동빙고	서울특별시 용산구 장문로 12 (동빙고동)	-	37.5289471	126.9917838
starb	165	서울	순천향입구	서울특별시 용산구 대사관로 67 (한남동)	-	37.5333841	127.0056296
starb	167	서울	황학캐슬	서울특별시 중구 청계천로 400 (황학동) 롯데캐슬베네치아	-	37.5708733	127.0213284
starb	169	서울	마포아크로	서울특별시 마포구 마포대로 68 (도화동) 마포아크로타워	-	37.5412413	126.9489446
starb	171	서울	연세종합관	서울특별시 서대문구 연세로 50, 연세세브란스 종합관 (신촌동)	-	37.5583716	126.9374795
starb	173	서울	한성대입구역	서울특별시 성북구 성북로 11 (성북동1가)	-	37.5889972	127.0048925
starb	175	서울	신촌기차역	서울특별시 서대문구 명물길 74, 에스프리빌딩 1층 (창천동)	-	37.5584453	126.9386128
starb	177	서울	신촌아트레온	서울특별시 서대문구 신촌로 129 (창천동)	-	37.5564819	126.940327
starb	179	서울	삼선교	서울특별시 성북구 동소문로 10 (동소문동2가)	-	37.588696	127.0073207
starb	181	서울	용산역	서울특별시 용산구 한강대로23길 55	-	37.529270	126.964907
starb	183	서울	신촌대로	서울특별시 서대문구 신촌로 121 (창천동)	-	37.556187	126.9392967
starb	185	서울	마포일진빌딩	서울특별시 마포구 마포대로 45, 일진빌딩 1층 (도화동)	-	37.5404326	126.9463602
starb	187	서울	신촌명물거리	서울특별시 서대문구 명물길 24, 1-5층 (창천동)	-	37.5584453	126.9386128
starb	189	서울	연세백양로	서울특별시 서대문구 연세로 50 (신촌동) 연세대학교	-	37.564089	126.9389809
starb	191	서울	신촌	서울특별시 서대문구 연세로 10-1 (창천동)	-	37.5564503	126.9371086
starb	193	서울	서강대	서울특별시 마포구 백범로 23 (신수동)	-	37.5524589	126.9378262
starb	195	서울	연대	서울특별시 서대문구 연세로 35 (창천동)	-	37.5586875	126.9366988
starb	197	서울	신설동역	서울특별시 동대문구 왕산로 19 (신설동)	-	37.5766701	127.0255138
starb	199	서울	왕십리역	서울특별시 성동구 왕십리로 326 (도선동)	-	37.5627152	127.0338928
starb	201	서울	동부이촌동	서울특별시 용산구 이촌로 198 (이촌동)	-	37.5210945	126.9690312
starb	203	서울	연희DT	서울특별시 서대문구 연희로 146 (연희동)	-	37.5701744	126.9339647
starb	205	서울	성신여대	서울특별시 성북구 동소문로24길 12 (동선동1가)	-	37.593268	127.018455
starb	207	서울	엔터식스	서울특별시 성동구 왕십리광장로 17 (행당동)	-	37.561805	127.038336
starb	209	서울	고대	서울특별시 성북구 인촌로24길 51 (안암동5가)	-	37.5838912	127.0296926
starb	211	서울	고대안암병원	서울특별시 성북구 인촌로 73, 고려대병원 (안암동5가)	-	37.5862871	127.0248899
starb	213	서울	동교삼거리	서울특별시 서대문구 신촌로 1 (창천동)	-	37.5575088	126.944032
starb	215	서울	엔터식스한양대	서울특별시 성동구 행당동 왕십리로 241 B1층	-	37.5569812	127.0307697
starb	217	서울	안암역	서울특별시 성북구 인촌로 102-2 (안암동5가)	-	37.5861033	127.0306875
starb	219	서울	한양대	서울특별시 성동구 왕십리로 225 (행당동)	-	37.557121	127.0421163
starb	221	서울	홍대갤러리	서울특별시 마포구 와우산로 101, 정명빌딩 (서교동)	-	37.5532505	126.9248429
starb	223	서울	홍대역	서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동)	-	37.552785	126.9186125
starb	225	서울	가로수길	서울특별시 강남구 논현로175길 94, 1~2층 (신사동)	-	37.5242562	127.0243718
starb	227	서울	종로평창	서울특별시 종로구 평창문화로 51, 1~2층 (평창동)	-	37.5729503	126.9793579
